* Measurement data measured by REW V5.31.3
* Format: 512k Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: Apr 18, 2025, 8:21:37 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: IR window: 0ms left, 2ms right
* Measurement: Piega black dot
* Smoothing: 1/24 octave
* Frequency Step: 96 ppo
* Start Frequency: 1000.1221 Hz
*
* Freq(Hz), SPL(dB), Phase(degrees)
3512.933093, 83.901, -89.4096
3538.389255, 83.843, -90.2711
3564.029882, 83.785, -91.0477
3589.856311, 83.729, -91.7357
3615.869890, 83.674, -92.3287
3642.071974, 83.622, -92.8188
3668.463929, 83.576, -93.1981
3695.047131, 83.539, -93.4601
3721.822965, 83.516, -93.6029
3748.792829, 83.510, -93.6313
3775.958127, 83.527, -93.5590
3803.320276, 83.571, -93.4109
3830.880703, 83.646, -93.2227
3858.640843, 83.755, -93.0397
3886.602145, 83.897, -92.9137
3914.766067, 84.073, -92.8978
3943.134075, 84.278, -93.0414
3971.707650, 84.507, -93.3857
4000.488281, 84.753, -93.9601
4029.477468, 85.007, -94.7811
4058.676723, 85.263, -95.8526
4088.087568, 85.513, -97.1671
4117.711536, 85.751, -98.7083
4147.550171, 85.972, -100.4537
4177.605029, 86.172, -102.3765
4207.877677, 86.347, -104.4479
4238.369693, 86.496, -106.6392
4269.082667, 86.617, -108.9222
4300.018200, 86.710, -111.2715
4331.177905, 86.775, -113.6642
4362.563405, 86.814, -116.0809
4394.176338, 86.827, -118.5058
4426.018351, 86.815, -120.9266
4458.091105, 86.779, -123.3339
4490.396270, 86.719, -125.7203
4522.935533, 86.635, -128.0793
4555.710588, 86.527, -130.4033
4588.723145, 86.393, -132.6825
4621.974925, 86.232, -134.9021
4655.467660, 86.042, -137.0414
4689.203098, 85.822, -139.0719
4723.182997, 85.570, -140.9564
4757.409128, 85.287, -142.6490
4791.883275, 84.974, -144.0962
4826.607237, 84.636, -145.2397
4861.582822, 84.280, -146.0219
4896.811856, 83.918, -146.3943
4932.296173, 83.566, -146.3288
4968.037624, 83.241, -145.8306
5004.038073, 82.960, -144.9487
5040.299395, 82.740, -143.7780
5076.823483, 82.588, -142.4482
5113.612238, 82.507, -141.1002
5150.667581, 82.487, -139.8574
5187.991441, 82.518, -138.8023
5225.585766, 82.585, -137.9684
5263.452514, 82.675, -137.3462
5301.593661, 82.782, -136.8992
5340.011194, 82.902, -136.5847
5378.707116, 83.037, -136.3734
5417.683445, 83.194, -136.2645
5456.942213, 83.377, -136.2922
5496.485466, 83.587, -136.5222
5536.315265, 83.824, -137.0378
5576.433688, 84.077, -137.9203
5616.842825, 84.335, -139.2291
5657.544783, 84.578, -140.9900
5698.541685, 84.789, -143.1901
5739.835667, 84.950, -145.7812
5781.428883, 85.046, -148.6858
5823.323500, 85.065, -151.8041
5865.521702, 85.000, -155.0196
5908.025690, 84.848, -158.2038
5950.837680, 84.608, -161.2198
5993.959903, 84.287, -163.9272
6037.394607, 83.895, -166.1900
6081.144057, 83.452, -167.8893
6125.210534, 82.979, -168.9424
6169.596334, 82.507, -169.3253
6214.303773, 82.064, -169.0898
6259.335179, 81.673, -168.3618
6304.692902, 81.351, -167.3128
6350.379306, 81.096, -166.1095
6396.396772, 80.901, -164.8690
6442.747700, 80.754, -163.6407
6489.434506, 80.648, -162.4236
6536.459623, 80.583, -161.2060
6583.825504, 80.562, -160.0066
6631.534618, 80.592, -158.8979
6679.589451, 80.672, -157.9962
6727.992510, 80.791, -157.4231
6776.746317, 80.928, -157.2572
6825.853414, 81.059, -157.5013
6875.316362, 81.159, -158.0764
6925.137739, 81.215, -158.8407
6975.320141, 81.224, -159.6222
7025.866186, 81.197, -160.2604
7076.778509, 81.156, -160.6520
7128.059763, 81.131, -160.7922
7179.712623, 81.148, -160.7939
7231.739780, 81.216, -160.8628
7284.143948, 81.329, -161.2265
7336.927857, 81.461, -162.0515
7390.094261, 81.575, -163.3901
7443.645930, 81.638, -165.1749
7497.585657, 81.624, -167.2463
7551.916254, 81.518, -169.3907
7606.640552, 81.318, -171.3773
7661.761405, 81.037, -172.9907
7717.281687, 80.696, -174.0603
7773.204291, 80.325, -174.4863
7829.532133, 79.955, -174.2501
7886.268151, 79.616, -173.4015
7943.415301, 79.329, -172.0251
8000.976563, 79.113, -170.2099
8058.954937, 78.989, -168.0552
8117.353446, 78.975, -165.7160
8176.175136, 79.087, -163.4471
8235.423071, 79.318, -161.5799
8295.100342, 79.634, -160.4197
8355.210058, 79.986, -160.1290
8415.755354, 80.318, -160.6791
8476.739387, 80.589, -161.8826
8538.165335, 80.777, -163.4683
8600.036400, 80.884, -165.1604
8662.355809, 80.928, -166.7509
8725.126810, 80.941, -168.1565
8788.352676, 80.949, -169.4402
8852.036702, 80.967, -170.7740
8916.182209, 80.981, -172.3428
8980.792541, 80.962, -174.2392
9045.871066, 80.872, -176.4035
9111.421176, 80.681, -178.6264
9177.446290, 80.375, 179.4064
9243.949849, 79.966, 178.0514
9310.935320, 79.489, 177.6307
9378.406196, 79.005, 178.3434
9446.365993, 78.586, -179.8177
9514.818255, 78.304, -177.0996
9583.766550, 78.209, -173.9426
9653.214473, 78.316, -170.8836
9723.165645, 78.607, -168.4609
9793.623711, 79.028, -167.1214
9864.592346, 79.501, -167.1234
9936.075248, 79.941, -168.4765
10008.076145, 80.271, -170.9555
10080.598791, 80.438, -174.1651
10153.646965, 80.417, -177.6149
10227.224477, 80.209, 179.2140
10301.335161, 79.851, 176.7936
10375.982882, 79.403, 175.4432
10451.171531, 78.945, 175.2152
10526.905028, 78.540, 175.8715
10603.187322, 78.212, 177.0544
10680.022388, 77.951, 178.5600
10757.414233, 77.748, -179.5483
10835.366891, 77.626, -177.1126
10913.884426, 77.641, -174.2047
10992.970931, 77.832, -171.2919
11072.630530, 78.184, -169.0090
11152.867375, 78.628, -167.7468
11233.685650, 79.092, -167.5054
11315.089567, 79.536, -168.0762
11397.083370, 79.945, -169.2834
11479.671335, 80.310, -171.0841
11562.857765, 80.607, -173.4970
11646.646999, 80.796, -176.4547
11731.043404, 80.833, -179.6982
11816.051381, 80.697, 177.2293
11901.675360, 80.402, 174.9027
11987.919806, 80.013, 173.8554
12074.789214, 79.642, 174.3342
12162.288114, 79.413, 176.0627
12250.421068, 79.401, 178.2784
12339.192669, 79.593, -179.8525
12428.607545, 79.921, -178.8426
12518.670359, 80.308, -178.8546
12609.385805, 80.691, -179.8664
12700.758612, 81.017, 178.2363
12792.793545, 81.241, 175.6616
12885.495400, 81.334, 172.7123
12978.869011, 81.288, 169.7408
13072.919246, 81.115, 167.0747
13167.651008, 80.842, 164.9611
13263.069236, 80.501, 163.5669
13359.178903, 80.128, 163.0218
13455.985020, 79.773, 163.4266
13553.492634, 79.499, 164.7435
13651.706829, 79.370, 166.6331
13750.632724, 79.407, 168.4848
13850.275477, 79.572, 169.7404
13950.640283, 79.793, 170.1870
14051.732373, 80.013, 169.9215
14153.557018, 80.202, 169.1226
14256.119527, 80.345, 167.9117
14359.425246, 80.428, 166.3859
14463.479560, 80.434, 164.7072
14568.287895, 80.365, 163.0976
14673.855715, 80.236, 161.7279
14780.188522, 80.066, 160.6348
14887.291861, 79.858, 159.8102
14995.171315, 79.605, 159.4089
15103.832507, 79.326, 159.8116
15213.281104, 79.109, 161.3268
15323.522810, 79.074, 163.6583
15434.563373, 79.278, 165.7799
15546.408582, 79.649, 166.6539
15659.064267, 80.045, 165.9521
15772.536302, 80.357, 163.9781
15886.830602, 80.527, 161.2337
16001.953125, 80.540, 158.1777
16117.909874, 80.399, 155.2009
16234.706893, 80.123, 152.6450
16352.350271, 79.750, 150.7632
16470.846142, 79.323, 149.6701
16590.200683, 78.880, 149.3887
16710.420116, 78.458, 149.9565
16831.510709, 78.110, 151.3680
16953.478774, 77.901, 153.3099
17076.330669, 77.852, 155.0942
17200.072801, 77.910, 156.0878
17324.711619, 77.977, 156.1475
17450.253621, 77.978, 155.5698
17576.705352, 77.878, 154.8085
17704.073404, 77.685, 154.3175
17832.364418, 77.440, 154.4743
17961.585082, 77.216, 155.4101
18091.742131, 77.084, 156.8431
18222.842353, 77.067, 158.2422
18354.892580, 77.135, 159.2201
18487.899698, 77.250, 159.6380
18621.870641, 77.375, 159.4255
18756.812392, 77.461, 158.5646
18892.731986, 77.459, 157.2633
19029.636510, 77.345, 155.9653
19167.533101, 77.146, 155.1116
19306.428947, 76.921, 154.9023
19446.331290, 76.733, 155.2532
19587.247422, 76.624, 155.8798
19729.184692, 76.603, 156.4034
19872.150497, 76.635, 156.5593
20016.152291, 76.668, 156.4446
