* Measurement data measured by REW V5.31.3
* Format: 512k Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: Apr 18, 2025, 8:25:02 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: IR window: 0ms left, 2ms right
* Measurement: Piega
* Smoothing: None
* Frequency Step: 0.36621097 Hz
* Start Frequency: 1000.1221 Hz
*
* Freq(Hz), SPL(dB), Phase(degrees)
1064.208990, 52.543, 80.3177
1064.575201, 52.525, 80.2958
1064.941412, 52.507, 80.2742
1065.307622, 52.489, 80.2529
1065.673833, 52.470, 80.2321
1066.040044, 52.451, 80.2117
1066.406255, 52.433, 80.1916
1066.772466, 52.414, 80.1721
1067.138677, 52.395, 80.1532
1067.504888, 52.376, 80.1344
1067.871099, 52.357, 80.1161
1068.237310, 52.338, 80.0985
1068.603521, 52.318, 80.0812
1068.969732, 52.299, 80.0640
1069.335943, 52.279, 80.0476
1069.702154, 52.260, 80.0315
1070.068365, 52.240, 80.0160
1070.434576, 52.220, 80.0009
1070.800787, 52.200, 79.9863
1071.166998, 52.180, 79.9721
1071.533209, 52.160, 79.9582
1071.899420, 52.139, 79.9450
1072.265631, 52.119, 79.9324
1072.631842, 52.098, 79.9200
1072.998053, 52.078, 79.9084
1073.364264, 52.057, 79.8972
1073.730475, 52.036, 79.8863
1074.096686, 52.015, 79.8761
1074.462897, 51.994, 79.8665
1074.829108, 51.973, 79.8572
1075.195319, 51.951, 79.8483
1075.561530, 51.930, 79.8403
1075.927741, 51.908, 79.8328
1076.293952, 51.887, 79.8255
1076.660162, 51.865, 79.8190
1077.026373, 51.843, 79.8130
1077.392584, 51.821, 79.8078
1077.758795, 51.799, 79.8028
1078.125006, 51.776, 79.7987
1078.491217, 51.754, 79.7948
1078.857428, 51.731, 79.7918
1079.223639, 51.709, 79.7893
1079.589850, 51.686, 79.7871
1079.956061, 51.663, 79.7859
1080.322272, 51.640, 79.7851
1080.688483, 51.617, 79.7850
1081.054694, 51.593, 79.7855
1081.420905, 51.570, 79.7866
1081.787116, 51.547, 79.7884
1082.153327, 51.523, 79.7907
1082.519538, 51.499, 79.7939
1082.885749, 51.475, 79.7976
